Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Main Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
21101045755,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,76,230,20,0.3,0.671,0.276,1211,Philosophy,42,494,854,National Research University Higher School of Economics (HSE University),National Research University Higher School of Economics (HSE University),j,No,3,FALSE,https://www.scopus.com/sourceid/21101045755,,25878719
21101045755,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,76,230,20,0.3,0.671,0.276,1207,History and Philosophy of Science,32,163,239,National Research University Higher School of Economics (HSE University),National Research University Higher School of Economics (HSE University),j,No,3,FALSE,https://www.scopus.com/sourceid/21101045755,,25878719
21101045756,Archeologia dell'Architettura,16,63,21,0.3,0.098,0.101,1204,Archeology (arts and humanities),24,333,443,Edizioni all'Insegna del Giglio s.a.s.,Edizioni all'Insegna del Giglio s.a.s.,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045756,11266236,20386567
21101045756,Archeologia dell'Architettura,16,63,21,0.3,0.098,0.101,3302,Archeology,21,296,377,Edizioni all'Insegna del Giglio s.a.s.,Edizioni all'Insegna del Giglio s.a.s.,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045756,11266236,20386567
21101045757,Journal of Magazine Media,3,27,11,0.1,0.005,0.117,1202,History,16,1551,1850,University of Nebraska Press,University of Nebraska Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045757,25767887,25767895
21101045757,Journal of Magazine Media,3,27,11,0.1,0.005,0.117,3316,Cultural Studies,11,1209,1371,University of Nebraska Press,University of Nebraska Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045757,25767887,25767895
21101045757,Journal of Magazine Media,3,27,11,0.1,0.005,0.117,3301,Social Sciences (miscellaneous),5,638,674,University of Nebraska Press,University of Nebraska Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045757,25767887,25767895
21101045757,Journal of Magazine Media,3,27,11,0.1,0.005,0.117,3315,Communication,4,514,535,University of Nebraska Press,University of Nebraska Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045757,25767887,25767895
21101045758,Anales de Literatura Espanola,30,91,23,0.3,0.717,0.176,1208,Literature and Literary Theory,63,418,1160,University of Alicante,University of Alicante,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045758,02125889,26954257
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,1202,History,65,635,1850,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,2,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,1211,Philosophy,57,362,854,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,2,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,3314,Anthropology,38,325,524,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,3301,Social Sciences (miscellaneous),27,492,674,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,3312,Sociology and Political Science,24,1128,1497,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
