eid,index,afid,name,domain,url,variants
10-s2.0-114678449,20575,114678449,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,,"['Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira', 'Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira (inep)', 'Pesquisadora-tecnologista Do Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira', 'Pesquisadora Em Informações E Avaliações Educacionais Do Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira (inep)', 'Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira-inep', 'Instituto Nacional De Estudos E Pesquisas Educacionais Anísio Teixeira - Inep', 'Instituto Nacional De Estudos E Pesquisas Anísio Teixeira', 'Instituto De Estudos E Pesquisas Educacionais Anísio Teixeira - Inep. Sqn 105']"
10-s2.0-100526539,20576,100526539,Positivo Technologies,,,"['Universidad Positivo', 'Positivo Technologies', 'Positivo Group']"
10-s2.0-112638593,20577,112638593,PPGCI/UFBA,,,['PPGCI/UFBA']
10-s2.0-121218971,20578,121218971,Centro de Educação Profissional e Especialização,,,['Centro De Educação Profissional E Especialização']
10-s2.0-116692426,20579,116692426,Faculdade dos Guararapes Laureate International Universities,,,['Faculdade dos Guararapes Laureate International Universities']
10-s2.0-116682188,20580,116682188,International Relations at the School of Social Sciences (FGV,,,['International Relations at the School of Social Sciences (FGV']
10-s2.0-114913492,20581,114913492,Centro Edelstein de Pesquisas Sociais,,,['Centro Edelstein De Pesquisas Sociais']
10-s2.0-126688798,20582,126688798,Cidade Universitária Zeferino Vaz,,,"['Cidade Universitária Zeferino Vaz', 'Faculdade De Ciências Médicas, Cidade Universitária Zeferino Vaz', 'Cidade Universitária Zeferino Vaz-barão Geraldo', 'Cidade Universitária Zeferino Vaz Barão Geraldo', 'Cidade Universitária Zeferino Vaz - Barão Geraldo', 'Cidade Universitaria Prof. Zeferino Vaz']"
10-s2.0-129439421,20583,129439421,Serviço de Violência Sexual e Aborto Legal do Hospital Pérola Byington,,,['Serviço De Violência Sexual E Aborto Legal Do Hospital Pérola Byington']
10-s2.0-113843765,20584,113843765,Universidade Estadual do Cearï¿½,,,"['Universidade Estadual Do Cearï¿½', 'Universidade Estadual Do', 'Universidade Estadual Do Ceark']"
10-s2.0-127279131,20585,127279131,Hospital Universitário Cassiano Antonio de Moraes (HUCAM),,,"['Universitary Hospital Cassiano Antonio De Moraes', 'Hospital Universitário Cassiano Antonio De Moraes (hucam)']"
10-s2.0-129439491,20586,129439491,Hospital Estadual Infantil Nossa Senhora da Glória (HEINSG),,,[]
10-s2.0-129439434,20587,129439434,Faculdade de Ciências e Tecnologia (FCT/UNESPS),,,['Faculdade De Ciências E Tecnologia (fct/unesps)']
10-s2.0-116578439,20588,116578439,Universidad Autónoma de Tabasco,,,['Universidad Autónoma de Tabasco']
10-s2.0-119946080,20589,119946080,Instituto Federal de Santa Catarina,,,"['Instituto Federal De Santa Catarina', 'Instituto Federal De Santa Catarina/ifsc', 'Governo De Santa Catarina', 'Federal Institute Of Santa Catarina']"
10-s2.0-116517337,20591,116517337,Laboratório de Estudos em Sistemas Agrários Semiáridos (Lesisa,,,['Laboratório de Estudos em Sistemas Agrários Semiáridos (Lesisa']
10-s2.0-116538350,20590,116538350,Universidade Anhanguera de Taboão da Serra,,,['Universidade Anhanguera de Taboão da Serra']
10-s2.0-108101201,20592,108101201,Departamento de Antropologia da Unicamp,,,['Departamento De Antropologia Da Unicamp']
10-s2.0-116513630,20593,116513630,Prefeitura Municipal de Ouro Branco,,,['Prefeitura Municipal de Ouro Branco']
10-s2.0-116461568,20594,116461568,Secretaria Estadual de Saúde do Maranhão,,,"['Secretaria Estadual De Saúde Do Maranhão', 'Núcleo Estadual Do Maranhão', 'Força Estadual De Saúde Do Maranhão']"
10-s2.0-107262994,20595,107262994,Hospital Público Municipal de Macaé,,,"['Hospital Público Municipal De Macaé', 'Prefeitura Municipal De Macaé', 'Hospital Público De Macaé (hpm)']"
10-s2.0-116462060,20596,116462060,Núcleo de Estudos e Pesquisas em Vulnerabilidade e Saúde na Infância e Adolescência,,,['Núcleo de Estudos e Pesquisas em Vulnerabilidade e Saúde na Infância e Adolescência']
10-s2.0-114954107,20597,114954107,Fundação Centro de Ciências e Educação Superior a Distância,,,"['Fundação Centro De Ciências E Educação Superior A Distância', 'Fundação Centro De Ciências E Educação Superior A Distância Do Estado Do Rj']"
10-s2.0-101721711,20598,101721711,Conselho Regional de Psicologia do Rio de Janeiro,,,"['Conselho Regional De Psicologia Do Rio De Janeiro', 'Conselho Regional De Farmácia Do Estado Do Rio De Janeiro', 'Conselho Regional De Medicina Do Estado Do Rio De Janeiro', 'Conselho Regional De Enfermagem Do Rio De Janeiro (coren-rj']"
10-s2.0-116300783,20600,116300783,Universidade Lusíada Norte,,,['Universidade Lusíada Norte']
10-s2.0-116345413,20599,116345413,Instituto do Patrimônio Histórico e Artístico Nacional,,,"['Instituto Do Patrimônio Histórico E Artístico Nacional', 'Instituto Do Patrimonio Historico E Artistico Nacional']"
10-s2.0-115375859,20603,115375859,University Federal de Sergipe,,,"['Federal University de Sergipe', 'University Federal de Sergipe']"
10-s2.0-127935425,20604,127935425,Ministry of Planning,,,['Ministry Of Planning']
10-s2.0-110065231,20605,110065231,Centro,,,"['Centro', 'Centro -', 'Centro.']"
10-s2.0-116083578,20606,116083578,Centro Histórico,,,['Centro Histórico']
