auid,given name,surname,indexed name
58179124600,Dimas Tadeu,Covas,Covas D.T.
36620020900,Thaise Campos,Mondin,Mondin T.C.
47460951600,Taiane,de Azevedo Cardoso,de Azevedo Cardoso T.
56489989500,Fernanda Pedrotti,Moreira,Moreira F.P.
54400546500,Carolina,Wiener,Wiener C.
6602841189,Jean Pierre,Oses,Oses J.P.
16308529000,Luciano Dias,de Mattos Souza,de Mattos Souza L.D.
36089821700,Karen,Jansen,Jansen K.
55839132500,Pedro Vieira,da Silva Magalhães,da Silva Magalhaes P.V.
55516333800,Flávio,Kapczinski,Kapczinski F.
56208649000,Ricardo Azevedo,da Silva,da Silva R.A.
57192180790,Alex,Portes,Portes A.
55386290900,Elizabeth,Giestal-de-Araujo,Giestal-de-Araujo E.
6602997946,Aline,Fagundes,Fagundes A.
15053587600,Pablo,Pandolfo,Pandolfo P.
57192179510,Arnaldo,de Sá Geraldo,de Sa Geraldo A.
55504198600,Marie Luce Flores,Lira,Lira M.L.F.
36762222400,Veronica Figueiredo,Amaral,Amaral V.F.
6507631344,Jussara,Lagrota-Candido,Lagrota-Candido J.
56187545400,Sérgio M.,de Almeida,de Almeida S.M.
24399858800,Indianara,Rotta,Rotta I.
23104368500,Clea E.,Ribeiro,Ribeiro C.E.
57202523532,Davey,Smith,Smith D.
57192178392,Ruiyi,Wang,Wang R.
57192176235,Jennifer,Judicello,Judicello J.
56648298200,Michael,Potter,Potter M.
6603008933,Florin,Vaida,Vaida F.
58460122900,Scott,Letendre,Letendre S.
7401984872,Ronald J.,Ellis,Ellis R.J.
50461377300,Gopalsamy Rajiv,Gandhi,Gandhi G.R.
36460568400,Paula Gurgel,Barreto,Barreto P.G.
57225359604,Bruno dos Santos,Lima,Lima B.D.S.
50262827200,Jullyana de Souza Siqueira,Quintans,Quintans J.D.S.S.
57208063767,Adriano Antunes de Souza,Araújo,Araujo A.A.D.S.
7003328789,Narendra,Narain,Narain N.
6506141950,Lucindo Jose,Quintans-Júnior,Quintans-Junior L.J.
6603238900,Ricardo Queiroz,Gurgel,Gurgel R.Q.
35741893100,Tiago Lima,Sampaio,Sampaio T.L.
55208051200,Ramon Róseo Paula Pessoa Bezerra de,Menezes,Menezes R.R.P.P.B.D.
56346122900,Marcus Felipe Bezerra,da Costa,da Costa M.F.B.
50161879400,Gdayllon Cavalcante,Meneses,Meneses G.C.
57192085500,Mauren Cristina Villalta,Arrieta,Arrieta M.C.V.
57079021000,Adriano José Maia,Chaves Filho,Chaves Filho A.J.M.
57192084983,Glayciane Bezerra,de Morais,de Morais G.B.
23667844300,Alexandre Braga,Libório,Liborio A.B.
11239816000,Renata Sousa,Alves,Alves R.S.
8959576800,Janaína Serra Azul Monteiro,Evangelista,Evangelista J.S.A.M.
7203013676,Alice Maria Costa,Martins,Martins A.M.C.
7102220459,Suzanne M.,Garland,Garland S.M.
7102724434,Jorma,Paavonen,Paavonen J.
6601992756,Unnop,Jaisamrarn,Jaisamrarn U.
55930579800,Paulo,Naud,Naud P.
55989758800,Jorge,Salmerón,Salmeron J.
7201828330,Song Nan,Chow,Chow S.-N.
7005792721,Dan,Apter,Apter D.
34568277500,Xavier,Castellsagué,Castellsague X.
55419194300,Júlio C.,Teixeira,Teixeira J.C.
57818157000,S. Rachel,Skinner,Skinner S.R.
7202890627,James,Hedrick,Hedrick J.
16645917700,Genara,Limson,Limson G.
55956700100,Tino F.,Schwarz,Schwarz T.F.
7004912288,Willy A.J.,Poppe,Poppe W.A.J.
7201833397,F. Xavier,Bosch,Bosch F.X.
6701796545,Newton S.,de Carvalho,de Carvalho N.S.
35274695400,Maria Julieta V.,Germar,Germar M.J.V.
54279254500,Klaus,Peters,Peters K.
55880062700,M. Rowena,Del Rosario-Raymundo,Del Rosario-Raymundo M.R.
35995164900,Grégory,Catteau,Catteau G.
16311641500,Dominique,Descamps,Descamps D.
6603247840,Frank,Struyf,Struyf F.
35479268300,Matti,Lehtinen,Lehtinen M.
7004916923,Gary,Dubin,Dubin G.
56071369200,Paula,Muñoz Venturelli,Munoz Venturelli P.
7402678951,Thompson,Robinson,Robinson T.
57188955599,Pablo M.,Lavados,Lavados P.M.
57204794060,Verónica V.,Olavarría,Olavarria V.V.
57200689004,Hisatomi,Arima,Arima H.
23097231900,Laurent,Billot,Billot L.
7006506162,Maree L.,Hackett,Hackett M.L.
55785190100,Joyce Y.,Lim,Lim J.Y.
7102867349,Sandy,Middleton,Middleton S.
6504114792,Octavio,Pontes-Neto,Pontes-Neto O.
57203818802,Bin,Peng,Peng B.
54978356200,Liying,Cui,Cui L.
57212448408,Lily,Song,Song L.
7101899968,Gillian,Mead,Mead G.
35446136300,Caroline,Watkins,Watkins C.
7402888339,Ruey Tay,Lin,Lin R.-T.
56469976000,Tsong Hai,Lee,Lee T.-H.
6701618847,Jeyaraj,Pandian,Pandian J.
57198672075,H. Asita,de Silva,de Silva H.A.
14824521200,Craig S.,Anderson,Anderson C.S.
13614093700,Mariana,Spitz,Spitz M.
57213763454,Elisa,Sasse,Sasse E.
6701591471,Luiz Felipe Rocha,Vasconcellos,Vasconcellos L.F.R.
57191577130,Daniel,de Souza e Silva,de Souza e Silva D.
7401895054,João Santos,Pereira,Pereira J.S.
54796808700,Rafael,Mesquita,Mesquita R.
7004919939,Frits M.E.,Franssen,Franssen F.M.E.
57190429164,Sarah,Houben-Wilke,Houben-Wilke S.
55941789300,Nicole H.M.K.,Uszko-Lencer,Uszko-Lencer N.H.M.K.
26028693900,Lowie E.G.W.,Vanfleteren,Vanfleteren L.E.G.W.
57191571918,Yvonne M.J.,Goërtz,Goertz Y.M.J.
59058951200,Fabio,Pitta,Pitta F.
35395980800,Emiel F.M.,Wouters,Wouters E.F.M.
6701461456,Martijn A.,Spruit,Spruit M.A.
55616019300,Paulo Victor Sgobbi,de Souza,de Souza P.V.S.
57189987667,Thiago,Bortholin,Bortholin T.
6602235953,Fernando George Monteiro,Naylor,Naylor F.G.M.
55228749000,Wladimir Bocca Vieira,de Rezende Pinto,de Rezende Pinto W.B.V.
35550845300,Acary Souza Bulle,Oliveira,Oliveira A.S.B.
57191477491,Beatriz B.,Lustosa,Lustosa B.B.
37038244300,Bertha,Polegato,Polegato B.
56207041900,Marcos,Minicucci,Minicucci M.
36997524300,Bruna,Rafacho,Rafacho B.
23101180800,Priscila P.,Santos,Santos P.P.
25651292100,Ana Angélica,Fernandes,Fernandes A.A.
7005891959,Katashi,Okoshi,Okoshi K.
55894111700,Diego,Batista,Batista D.
56437579600,Pamela,Modesto,Modesto P.
35617627700,Andrea,Gonçalves,Goncalves A.
16402925300,Elenize J.,Pereira,Pereira E.J.
55940660300,Vanessa,Pires,Pires V.
7003562257,Sergio,Paiva,Paiva S.
6701408735,Leonardo,Zornoff,Zornoff L.
57209456286,Paula S.,Azevedo,Azevedo P.S.
16417676400,Carlos,Scherr,Scherr C.
57211346070,Antonio Carlos,de Carvalho,de Carvalho A.C.
6506309497,Luciano Juaçaba,Belem,Belem L.J.
57213306619,Luiz Henrique,Loyola,Loyola L.H.
16836436000,Renata Leborato,Guerra,Guerra R.L.
57191440501,Fernanda,Blanco,Blanco F.
57191445158,Claudio,Mangia,Mangia C.
14033629400,Lauro C.,Vianna,Vianna L.C.
55553445800,André L.,Teixeira,Teixeira A.L.
57191432174,Tácio S.,Santos,Santos T.S.
57191428808,Gabriel D.,Rodrigues,Rodrigues G.D.
26326691600,Lidia A.,Bezerra,Bezerra L.A.
35548135700,Pedro P.,Soares,Soares P.P.
8964982700,Ricardo J.,Oliveira,Oliveira R.J.
56985356500,Masakazu,Saitoh,Saitoh M.
56363261700,Marcelo Rodrigues,dos Santos,dos Santos M.R.
35763654100,Markus,Anker,Anker M.
56223993400,Stefan D.,Anker,Anker S.D.
6602981479,Stephan,von Haehling,von Haehling S.
55337831500,Jochen,Springer,Springer J.
7006797482,Sheila M.,Keating,Keating S.M.
37037650400,Reshma,Kassanjee,Kassanjee R.
14039127100,Mila,Lebedeva,Lebedeva M.
14055942000,Shelley N.,Facente,Facente S.N.
57190564927,Jeffrey C.,Macarthur,Macarthur J.C.
26655598100,Eduard,Grebe,Grebe E.
55415921900,Gary,Murphy,Murphy G.
25028861200,Alex,Welte,Welte A.
7501562043,Jeffrey N.,Martin,Martin J.N.
7102631212,Susan,Little,Little S.
7401948448,Matthew A.,Price,Price M.A.
35499569700,Esper G.,Kallas,Kallas E.G.
26641634900,Michael P.,Busch,Busch M.P.
7005885075,Christopher D.,Pilcher,Pilcher C.D.
25723793000,Salvatore,Piscuoglio,Piscuoglio S.
25925881700,Felipe C.,Geyer,Geyer F.C.
35868409900,Kathleen A.,Burke,Burke K.A.
9434440700,Melissa P.,Murray,Murray M.P.
35726087200,Charlotte K.Y.,Ng,Ng C.K.Y.
56430576400,Alba,Mota,Mota A.
8536055500,Caterina,Marchio,Marchio C.
55884814100,Samuel H.,Berman,Berman S.H.
36979172200,Larry,Norton,Norton L.
6701428901,Edi,Brogi,Brogi E.
6603829772,Britta,Weigelt,Weigelt B.
7006628885,Jorge S.,Reis-Filho,Reis-Filho J.S.
57193662268,Claudia,Collucci,Collucci C.
56085115800,Fernanda S.,Tonin,Tonin F.S.
33368337000,Astrid,Wiens,Wiens A.
56366491700,Fernando,Fernandez-Llimos,Fernandez-Llimos F.
9245743400,Roberto,Pontarolo,Pontarolo R.
15836366900,Marcelo Campos,Appel-Da-Silva,Appel-Da-Silva M.C.
56880465900,Suelen Aparecida,Da Silva Miozzo,Da Silva Miozzo S.A.
57192429599,Isabella,De Azevedo Dossin,De Azevedo Dossin I.
55882030500,Cristiane,Valle Tovo,Valle Tovo C.
17134236500,Fernanda,Branco,Branco F.
26326242400,Angelo Alves,De Mattos,De Mattos A.A.
56008625400,Andréa Lúcia Gonçalves,Da Silva,Da Silva A.L.G.
56008707600,Thaís Evelyn,Karnopp,Karnopp T.E.
57014094000,Augusto Ferreira,Weber,Weber A.F.
57192422368,Cassia da Luz,Goulart,Goulart C.D.L.
57192428784,Paloma de Borba,Scheneiders,Scheneiders P.D.B.
37027980700,Dannuey Machado,Cardoso,Cardoso D.M.
57014354800,Lisiane Lisboa,Carvalho,Carvalho L.L.
54882232000,Joel Henrique,Ellwanger,Ellwanger J.H.
15056833400,Lia Gonçalves,Possuelo,Possuelo L.G.
7801338719,Andréia Rosane de Moura,Valim,Valim A.R.D.M.
7003417547,Emil,Kupek,Kupek E.
24381934800,Adriana S.,Lobo,Lobo A.S.
55612764800,Danielle B.,Leal,Leal D.B.
55182647300,France,Bellisle,Bellisle F.
6602527082,Maria Alice A.,De Assis,De Assis M.A.A.
51864358300,M. W.,Lopes,Lopes M.W.
7006745491,R. B.,Leal,Leal R.B.
6603668786,R.,Guarnieri,Guarnieri R.
25029610800,M. L.,Schwarzbold,Schwarzbold M.L.
23097969100,A.,Hoeller,Hoeller A.
7201946492,A. P.,Diaz,Diaz A.P.
24832692200,G. L.,Boos,Boos G.L.
8565024500,K.,Lin,Lin K.
24401596900,M. N.,Linhares,Linhares M.N.
36562425700,J. C.,Nunes,Nunes J.C.
56971689500,J.,Quevedo,Quevedo J.
7004682148,Z. A.,Bortolotto,Bortolotto Z.A.
7005696614,H. J.,Markowitsch,Markowitsch H.J.
36067479700,S. L.,Lightman,Lightman S.L.
7005843084,R.,Walz,Walz R.
39762466600,G. L.,Nuernberg,Nuernberg G.L.
35114528100,B.,Aguiar,Aguiar B.
56165251000,G.,Bristot,Bristot G.
7004523568,M. P.,Fleck,Fleck M.P.
26040650100,N. S.,Rocha,Rocha N.S.
55232868700,Flora S.,Kano,Kano F.S.
23487122900,Flávia A.,Souza-Silva,Souza-Silva F.A.
56131201600,Leticia M.,Torres,Torres L.M.
57192893194,Barbara A.S.,Lima,Lima B.A.S.
16239798400,Taís N.,Sousa,Sousa T.N.
57192894193,Jéssica R.S.,Alves,Alves J.R.S.
7102962150,Roberto S.,Rocha,Rocha R.S.
7005517474,Cor J.F.,Fontes,Fontes C.J.F.
26635929200,Bruno A.M.,Sanchez,Sanchez B.A.M.
7404782646,John H.,Adams,Adams J.H.
7007023899,Cristiana F.A.,Brito,Brito C.F.A.
26028060700,Douglas E.V.,Pires,Pires D.E.V.
24170676900,David B.,Ascher,Ascher D.B.
7005248579,Ana Maria,Sell,Sell A.M.
7101931342,Luzia H.,Carvalho,Carvalho L.H.
56543749300,Virgílio,Souza e Silva,Souza e Silva V.
13409952200,Ludmilla Thomé Domingos,Chinen,Chinen L.T.D.
55939553700,Emne A.,Abdallah,Abdallah E.A.
54898028900,Aline,Damascena,Damascena A.
36698311700,Jociana,Paludo,Paludo J.
6602320878,Rubens,Chojniak,Chojniak R.
6505583225,Aldo Lourenço Abbade,Dettino,Dettino A.L.A.
35203707000,Celso Abdon Lopes,de Mello,de Mello C.A.L.
56542837100,Vanessa S.,Alves,Alves V.S.
36508568200,Marcello F.,Fanelli,Fanelli M.F.
56996940200,M. E.P.,Passos,Passos M.E.P.
57192304446,H. H.O.,Alves,Alves H.H.O.
56997529800,C. M.,Momesso,Momesso C.M.
57192305847,F. G.,Faria,Faria F.G.
56781180500,G.,Murata,Murata G.
8256217300,M. F.,Cury-Boaventura,Cury-Boaventura M.F.
6602381536,E.,Hatanaka,Hatanaka E.
6505807603,S.,Massao-Hirabara,Massao-Hirabara S.
6506206668,R.,Gorjão,Gorjao R.
55330338500,Douglas S.,Moreira,Moreira D.S.
6603545795,Silvane M.F.,Murta,Murta S.M.F.
7005599946,Jay,Duker,Duker J.
7102572648,Eduardo,Rodrigues,Rodrigues E.
57205463971,Renato Menezes,Palácios,Palacios R.M.
55579739800,Thaís Sousa,Mendes,Mendes T.S.
35115542500,Ronaldo Yuiti,Sano,Sano R.Y.
35313004500,Davi Chen,Wu,Wu D.C.
56608805200,Teruo,Aihara,Aihara T.
13406517500,Roberta Pereira,de Almeida Manzano,de Almeida Manzano R.P.
57202021808,Richard Geraldo,Giachetti Filho,Giachetti Filho R.G.
6701440776,Leandro Cabral,Zacharias,Zacharias L.C.
55981255700,Thaís Vera,Monteiro,Monteiro T.V.
16679342000,Rony Carlos,Preti,Preti R.C.
6602834139,Sérgio Gianoti,Pimentel,Pimentel S.G.
25959663500,Verônica Castro,Lima,Lima V.C.
7202895322,Richard B.,Rosen,Rosen R.B.
7103335791,Michel,Farah,Farah M.
10140251500,Leonardo Provetti,Cunha,Cunha L.P.
36482603900,Ana Laura Maciel,Almeida,Almeida A.L.M.
24758015300,Luciana Virgínia Ferreira,Costa-Cunha,Costa-Cunha L.V.F.
56328687800,Carolina Ferreira,Costa,Costa C.F.
35756313500,Mário L.R.,Monteiro,Monteiro M.L.R.
14619615800,Caio V.,Regatieri,Regatieri C.V.
55359613400,Eduardo A.,Novais,Novais E.A.
40461130000,Lauren,Branchini,Branchini L.
25644696200,Mehreen,Adhi,Adhi M.
59819878000,Emily D.,Cole,Cole E.D.
54391305800,Ricardo,Louzada,Louzada R.
56006542900,Mark,Lane,Lane M.
7005685830,Elias,Reichel,Reichel E.
7005599946,Jay S.,Duker,Duker J.S.
16319242900,Fabio,Lavinsky,Lavinsky F.
6508265876,Daniel,Lavinsky,Lavinsky D.
36010263500,João Rafael,de Oliveira Dias,de Oliveira Dias J.R.
56800403000,Gabriel Costa,de Andrade,de Andrade G.C.
55359613400,Eduardo Amorim,Novais,Novais E.A.
7103335791,Michel Eid,Farah,Farah M.E.
7102572648,Eduardo Büchele,Rodrigues,Rodrigues E.B.
56244822500,Gustavo B.,Rodrigues,Rodrigues G.B.
56549531500,Ricardo Y.,Abe,Abe R.Y.
55202346600,Camila,Zangalli,Zangalli C.
57202008961,Savio L.,Sodre,Sodre S.L.
57202004270,Flavia A.,Donini,Donini F.A.
57202005087,Danilo C.,Costa,Costa D.C.
57202016552,Andre,Leite,Leite A.
59662930500,Joao P.,Felix,Felix J.P.
6602673026,Marcelo,Torigoe,Torigoe M.
14630381100,Alberto,Diniz-Filho,Diniz-Filho A.
7006776310,Homero Gusmão,de Almeida,de Almeida H.G.
57202004427,Vinícius Carriero,Lima,Lima V.C.
57202002872,Gabriela Coutinho,Cavalieri,Cavalieri G.C.
57202005645,Maurício Carriero,Lima,Lima M.C.
6505970714,Nazaré Otília,Nazario,Nazario N.O.
40161704700,Gina Carriero,Lima,Lima G.C.
26428267600,Luiz H.,Lima,Lima L.H.
57192079605,Yael,Morales,Morales Y.
57192155018,Thiago,Cabral,Cabral T.
56338751500,Sara Socorro,Faria,Faria S.S.
57197129026,Paulo César,Fernandes,Fernandes P.C.
24169686300,Marcelo José Barbosa,Silva,Silva M.J.B.
