eid,auid,creator
2-s2.0-85213701588,57195207690,True
2-s2.0-85213701588,7801356868,False
2-s2.0-85213701588,8543320900,False
2-s2.0-85213701588,56529656000,False
2-s2.0-85213701588,7403098305,False
2-s2.0-85213701588,8435147500,False
2-s2.0-85213701588,7402814749,False
2-s2.0-85213701588,7102145838,False
2-s2.0-85213701588,57198286425,False
2-s2.0-85213701588,6602291473,False
2-s2.0-85210103938,57214184986,True
2-s2.0-85210103938,57201092084,False
2-s2.0-85210103938,57198312911,False
2-s2.0-85210103938,57195522526,False
2-s2.0-85210103938,36117675900,False
2-s2.0-85210103938,7003331101,False
2-s2.0-85210103938,7004830338,False
2-s2.0-85210103938,6603666634,False
2-s2.0-85214055121,59499668500,True
2-s2.0-85214055121,59499639600,False
2-s2.0-85214055121,59499626200,False
2-s2.0-85214055121,59499639700,False
2-s2.0-85214055121,59499731800,False
2-s2.0-85214055121,7004881064,False
2-s2.0-85214055121,14009287200,False
2-s2.0-85214055121,55879709600,False
2-s2.0-85214055121,6701327673,False
2-s2.0-85214055121,56962749300,False
2-s2.0-85138644930,56609324600,True
2-s2.0-85138644930,57903220300,False
2-s2.0-85138644930,57903422800,False
2-s2.0-85138644930,57902798500,False
2-s2.0-85138644930,57188625492,False
2-s2.0-85138644930,57209576067,False
2-s2.0-85138644930,35577213300,False
2-s2.0-85138644930,56207041900,False
2-s2.0-85138644930,14830219700,False
2-s2.0-85138644930,57196996262,False
2-s2.0-85218782120,57300992700,True
2-s2.0-85218782120,23499391100,False
2-s2.0-85218782120,57219141338,False
2-s2.0-85218782120,16047410700,False
2-s2.0-85218782120,58143554900,False
2-s2.0-85218782120,36603314500,False
2-s2.0-85060764642,57205607392,True
2-s2.0-85060764642,57205606515,False
2-s2.0-85057528631,57204853912,True
2-s2.0-85057528631,57204851991,False
2-s2.0-85057528631,7801521416,False
2-s2.0-85057528631,7003487583,False
2-s2.0-85088953657,55957000900,False
2-s2.0-85088953657,56352224900,False
2-s2.0-85088953657,7006689380,False
2-s2.0-85088953657,36183907900,False
2-s2.0-85058892682,37077106300,False
2-s2.0-85058892682,56224208300,False
2-s2.0-85058892682,57204422370,False
2-s2.0-85058892682,6603783424,False
2-s2.0-85058892682,7801647518,False
2-s2.0-85058892682,6603006631,False
2-s2.0-85058980202,57002574000,True
2-s2.0-85058980202,56798420600,False
2-s2.0-85058980202,57195478538,False
2-s2.0-85058980202,26653925400,False
2-s2.0-85058980202,50262756800,False
2-s2.0-85058980202,22941245300,False
2-s2.0-85058980202,7003897914,False
2-s2.0-85058980202,6507884856,False
2-s2.0-85058980202,23471104800,False
2-s2.0-85059916812,57205405864,False
2-s2.0-85059916812,57205409036,False
2-s2.0-85059916812,57205401148,False
2-s2.0-85059916812,57205401682,False
2-s2.0-85059916812,57205408566,False
2-s2.0-85059916812,57208484216,False
2-s2.0-85059916812,57204156560,False
2-s2.0-85057863973,57193720898,False
2-s2.0-85057863973,7004747826,False
2-s2.0-85057863973,24400911400,False
2-s2.0-85057863973,57188924306,False
2-s2.0-85058611963,57205110537,False
2-s2.0-85058611963,57042673800,False
2-s2.0-85058611963,6603940842,False
2-s2.0-85058611963,6603899597,False
2-s2.0-85058611963,7005385119,False
2-s2.0-85059771744,55368734800,False
2-s2.0-85059771744,35390951300,False
2-s2.0-85059771744,9232731100,False
2-s2.0-85114381781,57247306100,True
2-s2.0-85114381781,57248387800,False
2-s2.0-85114381781,57248387900,False
2-s2.0-85114381781,57248175200,False
2-s2.0-85114381781,57247306200,False
2-s2.0-85114381781,57247306300,False
2-s2.0-85114381781,55520741600,False
2-s2.0-85114381781,6508249506,False
2-s2.0-85114370468,57247958500,True
2-s2.0-85114370468,57247094200,False
2-s2.0-85114370468,36867198400,False
2-s2.0-85114352249,57247745100,True
