index,afid,name,domain,url,variants
475,109577336,Faculdade Adventista da Bahia,,,"['Faculdade Adventista Da Bahia', 'Faculdade Adventista Da Bahia (salvador)', 'Faculdade Adventista Da Bahia (fadba)']"
476,60271056,Instituto de Comunicação e Informação Científica e Tecnológica em Saúde,icict.fiocruz.br,https://www.icict.fiocruz.br/,"['Instituto de Comunicação e Informação Científica e Tecnológica em Saúde', 'Institute of Communication and Scientific and Technological Information in Health', 'Icict/Fiocruz']"
477,106722217,Bauru's Diabetics Association,,,[]
478,115203702,Maranhão State Institute of Oncology Aldenora Bello (IMOAB),,,"['Maranhão State Institute Of Oncology Aldenora Bello (imoab)', 'Maranhense Institute Of Oncology Aldenora Bello (imoab)']"
479,60069346,Instituto de Ciências Biológicas,icb.unb.br,http://icb.unb.br/,[]
480,60023334,Ludwig Institute for Cancer Research Sao Paulo,,,['Ludwig Institute for Cancer Research Sao Paulo']
481,112873428,Cancer Institute of São Paulo,,,[]
482,100611244,Center of Studies from the Physical Fitness Research Laboratory,,,"['Center For Physical Fitness Laboratory Studies Of São Caetano Do Sul (celafiscs)', 'Physical Fitness Research Center Of São Caetano Do Sul-celafiscs', 'Physical Fitness Research Center From São Caetano Do Sul-celafiscs', 'Center Of Studies Of The Physical Fitness Research Laboratory From Sao Caetano Do Sul (celafiscs)', 'Physical Fitness Research Laboratory Of Sao Caetano Do Sul (celafiscs)', 'Physical Fitness Research Laboratory De São Caetano Do Sul', 'Laboratory Of Sao Caetano Do Sul (celafiscs)', 'Center Of Studies Of The Physical Fitness Research Laboratory Of São Caetano Do Sul', 'Center Of Studies From The Physical Fitness Research Laboratory De São Caetano Do Sul', 'Center Of Studies From The Physical Fitness Research Laboratory']"
483,115200051,Universidade Federal do Recôncavo Baiano,,,['Universidade Federal Do Recôncavo Baiano']
484,114147627,USS,,,['Uss']
485,107293079,Irmandade Santa Casa de Misericórdia de Porto Alegre,,,[]
486,60004549,Instituto Evandro Chagas,iec.gov.br,https://www.iec.gov.br/,['Instituto Evandro Chagas']
487,112589785,Instituto do Câncer do Estado de São Paulo Octavio Frias de Oliveira,,,"['Instituto Do Câncer Do Estado De São Paulo Octavio Frias De Oliveira', 'Instituto Do Câncer Do Estado De São Paulo Octávio Frias De Oliveira', 'Instituto Do Câncer Do Estado Octavio Frias De Oliveira De São Paulo', 'Instituto Do Câncer De São Paulo Octavio Frias De Oliveira', 'Instituto Do Cancer Do Estado De Sao Paulo Octavio Frias De Oliveira', 'São Paulo Institute Of Cancer Octavio Frias De Oliveira', 'São Paulo Cancer Institute Octavio Frias De Oliveira', 'Instituto Docâ Ncer Do Estado De Saõ Paulo Octavio Frias De Oliveira', 'Instituto Do Câncer Do Estado De São Paulo Octavio Frias De Oliveira São Paulo', ""Instituto Do Câncer Do Estado De São Paulo 'octavio Frias De Oliveira'""]"
488,60101662,Marinha do Brasil,marinha.mil.br,https://www.marinha.mil.br/,[]
489,60035244,Hospital Sao Francisco,saofrancisco.com.br,http://www.saofrancisco.com.br/,['Hospital Sao Francisco']
