eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85048132238,10.1007/978-3-319-18696-2_6,,,Learning Orientation and Radical Innovation as Antecedents of Business Performance,ch,Book Chapter,Lengler J.F.B.,,Iscte – Instituto Universitário de Lisboa,Lisbon,Portugal,,,,,2016-01-01,2016,Developments in Marketing Science Proceedings of the Academy of Marketing Science,23636165,21101077266,23636173,Book Series,,,,15-16,,,1,0,,,,,
2-s2.0-85047752498,10.1590/1678-69712016/administracao.v17n2p122-155,,,Innovation in a religious environment: Establishing an inter-organizational network oriented to the islamic market,ar,Article,Da Cunha J.A.C.,,Universidade Nove de Julho,Sao Paulo,Brazil,,,,,2016-01-01,2016,Revista De Administracao Mackenzie,15186776,21100896892,16786971,Journal,17,2,,122-155,,,3,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85047098807,10.18803/capsi.v16.69-83,,,Methodologies of knowledge management considering best practice for information security,cp,Conference Paper,Buogo M.,,Unimed Nordeste RS Sociedade Cooperativa de Serviços Médicos Ltda,,Brazil,,,,,2016-01-01,2016,Atas Da Conferencia Da Associacao Portuguesa De Sistemas De Informacao,,21100854422,2183489X,Conference Proceeding,16,,,69-83,,,0,0,,,,,
2-s2.0-85047097475,10.18803/capsi.v16.324-335,,,OntoSINAES: An ontology network for the national evaluation system of higher education in Brazil,cp,Conference Paper,Silva C.,,"Universidade do Minho;Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG",Braga;Goiania,Portugal;Brazil,,,,,2016-01-01,2016,Atas Da Conferencia Da Associacao Portuguesa De Sistemas De Informacao,,21100854422,2183489X,Conference Proceeding,16,,,324-335,,,0,1,all publisherfree2read repository repositoryam,All Open Access Bronze Green,,,
2-s2.0-85047085069,10.18803/capsi.v16.178-192,,,Cloud computing: A searching for understand their use in public organizations,cp,Conference Paper,Dornelas J.S.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2016-01-01,2016,Atas Da Conferencia Da Associacao Portuguesa De Sistemas De Informacao,,21100854422,2183489X,Conference Proceeding,16,,,178-192,,,0,0,,,,,
2-s2.0-85047080526,10.18803/capsi.v16.237-244,,,The influence of the entrepreneurial orientation of project manager's intention to adopt platforms of crowdsourcing innovation,cp,Conference Paper,De Souza L.,,Universidade Potiguar,Natal,Brazil,,,,,2016-01-01,2016,Atas Da Conferencia Da Associacao Portuguesa De Sistemas De Informacao,,21100854422,2183489X,Conference Proceeding,16,,,237-244,,,1,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85046533580,10.1590/S0034-759020160502,,,Reflections on operations management: State of the art and some contributions from Brazil,ar,Article,Jabbour C.,,University of Stirling,Stirling,United Kingdom,,,,,2016-01-01,2016,RAE Revista De Administracao De Empresas,00347590,21100212700,2178938X,Journal,56,5,,468-472,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85046343945,10.5890/jeam.2016.09.006,,,Emergy evaluation of domestic wastewater treatments: The role of energy and materials consumption and carbon emissions,ar,Article,Giannetti B.F.,,Universidade Federal de São Carlos;Universidade Paulista;Laboratório de Produção e Meio Ambiente,Sao Carlos;Sao Paulo;,Brazil;Brazil;Brazil,,,,,2016-01-01,2016,Journal of Environmental Accounting and Management,23256192,21100787105,,Journal,4,3,,317-338,,,7,0,,,,,
2-s2.0-85045971368,10.1590/1678-69712016/administracao.v17n5p110-137,,,Modeling the new franchise creation decision: The relevance of behavioral reasons,ar,Article,De Souza Aguiar H.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-01-01,2016,Revista De Administracao Mackenzie,15186776,21100896892,16786971,Journal,17,5,,110-137,,,8,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85045874842,10.1080/16258312.2016.1176302,,,3PL performance evaluation and selection: A MCDM method,ar,Article,Aguezzoul A.,,"Laboratoire de Génie Informatique, de Production et de Maintenance",Metz,France,,,,,2016-01-01,1 January 2016,Supply Chain Forum,16258312,21100299408,16246039,Journal,17,2,,87-94,,,20,0,,,,,
2-s2.0-85045696084,10.1108/MRJIAM-11-2015-0619,,,The research productivity of new Brazilian PhDs in management: A few “star” performers outshine a mass of low performers,ar,Article,Falaster C.,,Universidade Nove de Julho,Sao Paulo,Brazil,,,,,2016-01-01,2016,Management Research,15365433,21100823284,15580946,Journal,14,1,,60-84,,,2,0,,,,,
2-s2.0-85045676265,10.1108/MRJIAM-06-2015-0599,,,Alternative logics coexistence and collaboration: the consumer protection field,ar,Article,Ryngelblum A.,,Universidade Paulista,Sao Paulo,Brazil,,,,,2016-01-01,2016,Management Research,15365433,21100823284,15580946,Journal,14,1,,24-41,,,0,0,,,,,
2-s2.0-85045615994,10.1108/MRJIAM-12-2015-0624,,,"Store creativity, store potency, store performance, retailing",ar,Article,Rego A.,,Universidade de Aveiro;Iscte – Instituto Universitário de Lisboa,Aveiro;Lisbon,Portugal;Portugal,,,,,2016-01-01,2016,Management Research,15365433,21100823284,15580946,Journal,14,2,,130-149,,,2,0,,,,,
2-s2.0-85044391632,,,,"The ambiguities of progress: Cultural appropriation of electric trams in the Southern Cone, 1890-1950 (Chile, Argentina, Uruguay and Brazil)",ar,Article,Errázuriz T.,,Universidad Andrés Bello,Santiago,Chile,,,,,2016-01-01,2016,Icon,13618113,19600156834,,Journal,22,,,55-77,,,6,0,,,,,
2-s2.0-85042848075,10.1590/1678-69712016/administracao.v17n3p183-211,,,Green marketing as a mediator between supply chain management and organizational performance,ar,Article,De Souza Zampese E.R.,,Customer and Planning - Consumer Market,Sao Paulo,Brazil,,,,,2016-01-01,2016,Revista De Administracao Mackenzie,15186776,21100896892,16786971,Journal,17,3,,183-211,,,19,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85042843550,10.1057/978-1-137-46297-8_11,,,Antitrust policy in Brazil: Evolution and perspectives,ch,Book Chapter,De Paula G.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,235-256,,,0,0,,,,,
2-s2.0-85042835924,10.1057/978-1-137-46297-8_5,,,Thriving through uncertainty: Fiscal space for sustainable growth in Brazil,ch,Book Chapter,Luporini V.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,87-108,,,0,0,,,,,
2-s2.0-85042835672,10.1057/978-1-137-46297-8_6,,,"Some lessons from the household consumption boom in Brazil, 2003-2012",ch,Book Chapter,Earp F.S.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,109-123,,,0,0,,,,,
2-s2.0-85042834566,10.1057/978-1-137-46297-8_14,,,The effects of public debt management on macroeconomic equilibrium: An analysis of the brazilian economy,ch,Book Chapter,Terra F.H.B.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,289-317,,,0,2,all repository repositoryvor repositoryam,All Open Access Green,,,
2-s2.0-85042832450,10.1057/978-1-137-46297-8_7,,,"Funding, state, and debt crisis",ch,Book Chapter,Antunes D.,,Faculdades Campinas,Campinas,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,127-149,,,0,0,,,,,
