eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85031712553,10.1590/2179-10742017v16i3958,,,Dynamic Digital Holography for recording and reconstruction of 3D images using optoelectronic devices,ar,Article,Yepes I.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2017-09-01,September 2017,Journal of Microwaves Optoelectronics and Electromagnetic Applications,21791074,20500195068,,Journal,16,3,,801-815,,,11,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85031661726,10.20855/ijav.2017.22.3480,,,Evaluation of a vibration text fixture,ar,Article,De Barros E.,,Instituto de Aeronautica e Espaco,Sao Jose dos Campos,Brazil,,,,,2017-09-01,September 2017,International Journal of Acoustics and Vibrations,10275851,20426,,Journal,22,3,,349-352,,,7,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85031429493,10.1134/S1064230717050070,,,Improved Lagrangian bounds and heuristics for the generalized assignment problem,ar,Article,Litvinchev I.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho"";Universidad Autónoma de Nuevo León;Dorodnicyn Computing Centre of Federal Researcher Center ""Computer Science and Control""",Sao Paulo;San Nicolas de los Garza;Moscow,Brazil;Mexico;Russian Federation,,,,,2017-09-01,1 September 2017,Journal of Computer and Systems Sciences International,10642307,12961,,Journal,56,5,,803-809,,,2,0,,,,,
2-s2.0-85031115144,10.1109/ARSO.2017.8025206,,,An Affordable open-source multifunctional upper-limb prosthesis with intrinsic actuation,cp,Conference Paper,Fajardo J.,,Universidad Galileo,Guatemala City,Guatemala,,,,,2017-09-01,1 September 2017,Proceedings of IEEE Workshop on Advanced Robotics and Its Social Impacts Arso,21627568,21100220409,21627576,Conference Proceeding,,,8025206,,,,15,0,,,,,
2-s2.0-85031049245,10.1109/ICTON.2017.8025164,,,Who shot Optical Packet switching?,cp,Conference Paper,Amazonas J.,,Universidade de São Paulo;Universitat Politècnica de Catalunya,Sao Paulo;Barcelona,Brazil;Spain,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8025164,,,,7,0,,,,,
2-s2.0-85031046908,10.1109/ICTON.2017.8024748,,,Are the spikes emitted by a semiconductor laser with feedback similar to neuronal spikes?,cp,Conference Paper,Quintero-Quiroz C.,,Universitat Politècnica de Catalunya,Barcelona,Spain,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024748,,,,1,0,,,,,
2-s2.0-85031045872,10.1109/ICTON.2017.8024735,,,Energy efficiency analysis with different modulation formats in elastic optical networks,cp,Conference Paper,Barbosa E.L.V.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024735,,,,4,0,,,,,
2-s2.0-85031031240,10.1109/ICTON.2017.8024977,,,Coexistence of TWDM-PON and multi RF/IF over fiber system: Experimental demonstration,cp,Conference Paper,Oliveira R.S.,,Federal University Western of Pará,Santarem,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024977,,,,3,0,,,,,
2-s2.0-85031022728,10.1109/ICTON.2017.8024790,,,Sub-band-based transmission for mode-multiplexed optical systems,cp,Conference Paper,Santos L.F.D.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024790,,,,2,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85031006851,10.1109/ICTON.2017.8025048,,,Network performance of optical parametric amplifiers based on tellurite waveguides,cp,Conference Paper,Marconi J.D.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8025048,,,,0,0,,,,,
