eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85108504982,10.1590/1807-0310/2017v29171993,,,Identity And Sustainability: The Nowadays Paths Of The Frontier-Man,ar,Article,Malvezzi M.,,Escola Superior de Propaganda e Marketing,Rio de Janeiro,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85108503143,10.1590/1807-0310/2017v29155689,,,Analysis Of The Outcry For Punishment And Reduction Of Criminal Liability Age,ar,Article,Tavares G.M.,,Universidade Federal do Espírito Santo,Vitoria,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85108500347,10.1590/1807-0310/2017v29159930,,,The use of Foucault in psychology studies in Brazil,ar,Article,Neto J.L.F.,,Pontificia Universidade Catolica de Minas Gerais,Belo Horizonte,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85105479405,10.1590/1807-0310/2017v29152335,,,Living Togheter With The Dwellers Of The Therapeutic Residences,ar,Article,Neto P.M.R.,,Universidade Federal do Espírito Santo,Vitoria,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-9,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85096553842,10.1590/1807-0310/2017v29162267,,,Relations between religiousness and homosexuality in religious young adults,ar,Article,Ribeiro L.M.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,9,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85096004679,10.1590/1807-0310/2017v29171330,,,“without stones there is no arch”: the place of narrative in the critical study of identity,ar,Article,de Lima A.F.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-8,,,4,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85095437560,10.1590/1807-0310/2017v29168770,,,Imprisoned paternity: a systematic review of paternity in the prison context,ar,Article,Cúnico S.D.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-11,,,5,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85093878338,10.22491/1678-4669.20170034,,,Interpretative repertoires about racial prejudice in football Racial prejudice in football,ar,Article,Ferreira A.S.S.,,Universidade Federal da Paraíba,Joao Pessoa,Brazil,,,,,2017-01-01,2017,Estudos De Psicologia,1413294X,5400152702,16784669,Journal,22,3,,338-348,,,4,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85087047862,10.22491/1678-4669.20170006,,,From Reception To Triage: Care Of Suicide Attempts In Hospital Emergencies,ar,Article,de Freitas A.P.A.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-01-01,2017,Estudos De Psicologia,1413294X,5400152702,16784669,Journal,22,1,,50-60,,,11,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85086454075,10.1590/1807-0310/2017v29169375,,,"Visual urban interventions: sensibilities in art, graffiti and pichação",ar,Article,Pizzinato A.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,2,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85086396105,10.1590/1807-0310/2017v29152680,,,Tricks Of The Hegemony: Obstacles To The Radicalization Of The Democracy In Brazil,ar,Article,Costa F.A.,,Universidade Federal de Alagoas,Maceio,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-11,,,4,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85084812260,10.1590/1807-0310/2017v29160002,,,Looking at the childhood through the narrative of playing,ar,Article,Viana C.V.A.,,Centro Camará de Pesquisa e Apoio à Infância e Adolescência,Sao Vicente,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-12,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85084487285,10.1007/978-3-319-64858-3_13,,,Living with “Encantados”: Dances of Poet and Scientist Within the Self,ch,Book Chapter,Abbey E.,,Ramapo College of New Jersey,Mahwah,United States,,,,,2017-01-01,2017,Palgrave Studies in Creativity and Culture,27554503,21101264426,27554511,Book Series,Part F3844,,,223-238,,,4,0,,,,,
2-s2.0-85082938820,10.1590/1807-0310/2017v29171957,,,"“Should We Continue?” Identity, History And Utopia Of The Street Educator",ar,Article,de Melo Souza A.M.,,Pontifícia Universidade Católica de São Paulo,Sao Paulo,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-11,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85082915334,10.4324/9781315135618-12,,,Between scylla and charybdis: Tamara dembo and rehabilitation psychology,ch,Book Chapter,de Lima S.,,Universidade de Brasília,Brasília,Brazil,,,,,2017-01-01,1 January 2017,Thinking in Psychological Science Ideas and their Makers,,21100976948,,Book,,,,235-263,,,0,0,,,,,
2-s2.0-85082415542,10.1186/s41155-017-0069-5,,,Cognitive flexibility training intervention among children with autism: A longitudinal study,ar,Article,Varanda C.d.A.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-01-01,2017,Psicologia Reflexao E Critica,01027972,5000155903,16787153,Journal,30,1,15,,,,12,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85080931367,10.1590/1807-0310/2017v29162231,,,Leaving africa to study in brazil: flows in debate,ar,Article,de Sousa Lima L.,,Universidade do Porto,Porto,Portugal,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,2,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85076480750,10.22491/1678-4669.20170009,,,Errant Autonomies: Processes Of Autonomisation In Mental Health,ar,Article,Zambillo M.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-01-01,2017,Estudos De Psicologia,1413294X,5400152702,16784669,Journal,22,1,,78-88,,,4,1,all publisherhybridgold repository repositoryvor repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85074365938,10.1590/1807-0310/2017v29162484,,,The subjective impacts of migratory flows: the haitians of Florianópolis (SC),ar,Article,Gomes M.A.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-11,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85074315764,10.1007/978-3-319-56194-3_6,,,Latin America,ch,Book Chapter,Neufeld C.B.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-01-01,1 January 2017,International Perspectives on Psychotherapy,,21100934423,,Book,,,,121-137,,,4,0,,,,,
2-s2.0-85072207907,10.1590/1807-0310/2017v29158583,,,The street as a stage: art and social (in)visibility,ar,Article,Delfin L.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2017-01-01,2017,Psicologia E Sociedade,01027182,4700152865,18070310,Journal,29,,,1-10,,,3,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
