eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85047778405,10.21826/2446-8231201772305,,,"Floristic and structure of grassland vegetation in the Campos Arbustivos of São Gabriel (Arroio do Salso headwaters), Rio Grande do Sul, Brazil",ar,Article,Filho P.J.S.d.S.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,351-372,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047775834,10.21826/2446-8231201772310,,,Evaluation of physiological seed quality of Myrsine parvifolia A. DC. (Primulaceae) at different storage conditions,ar,Article,Dal Ri L.,,Fundação de Apoio A Pesquisa Do Estado Do Rio Grande Do sul (FAPERGS),Porto Alegre,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,403-408,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047760722,10.21826/2446-8231201772302,,,"Alysicarpus ovalifolius (Fabaceae, Desmodieae), a new record for the flora of Brazil",ar,Article,Hassemer G.,,Statens Naturhistoriske Museum,Copenhagen,Denmark,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,325-330,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047758833,10.21826/2446-8231201772304,,,"Taxonomic survey of the Araceae Juss. in the coastal region of Piauí state, northeast Brazil, including the Rio Parnaíba Delta",ar,Article,Freitas R.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,341-350,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047758777,10.21826/2446-8231201772301,,,"Matelea atrolingua, a new Apocynaceae which corolla lobes resemble the tongue of a dead mammal",ar,Article,Morillo G.,,Universidad De Los Andes Facultad de Ciencias,Merida,Venezuela,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,319-324,,,6,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047756959,10.21826/2446-8231201772309,,,"Dynamics of the arboreal stratum in a semidecidual seasonal forest in Uberlândia, Minas Gerais, Brazil",ar,Article,Magalhães J.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,394-402,,,4,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047747481,10.21826/2446-8231201772303,,,"Arecaceae Schultz Sch. Litoral Piauiense, Delta do Parnaíba, Piauí, Brazil",ar,Article,Nascimento R.d.S.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,331-340,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047746645,10.21826/2446-8231201772315,,,Lectotypification of Stachytarpheta Vahl (Verbenaceae),ar,Article,Dos Santos J.S.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,441-444,,,5,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047741706,10.21826/2446-8231201772313,,,Antiproliferative and genotoxic potential from extracts and fractions of Richardia brasiliensis Gomes (Rubiaceae) by the Allium cepa L. test system,ar,Article,Dornelles R.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,424-431,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85047736270,10.21826/2446-8231201772311,,,"Aquatic macrophyte flora of coastal lakes in Santa Catarina, southern Brazil",ar,Article,Ferreira J.P.R.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-12-31,31 December 2017,Iheringia Serie Botanica,00734705,19800188009,24468231,Journal,72,3,,409-419,,,7,1,all publisherfullgold,All Open Access Gold,,,
