eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85050583623,10.1109/COBEP.2017.8257392,,,Analysis and simulation of a novel coupled inductor bidirectional DC-DC converter,cp,Conference Paper,Brunel Da Rosa M.,,Universidade do Estado de Santa Catarina,Florianopolis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,4,0,,,,,
2-s2.0-85050582916,10.1109/COBEP.2017.8257437,,,Power semiconductor failures due to cosmic rays,cp,Conference Paper,Prado R.A.,,SEMIKRON Elektronik GmbH & Co. KG,Nurnberg,Germany,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,0,0,,,,,
2-s2.0-85050582824,10.1109/COBEP.2017.8257260,,,A soft switching current fed bidirectional isolated three-phase DC-DC converter,cp,Conference Paper,Filho H.M.O.,,Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB,Redencao,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,1,0,,,,,
2-s2.0-85050582684,10.1109/COBEP.2017.8257434,,,Design of a MIMO IMC-TS fuzzy speed controller for PMSM,cp,Conference Paper,Garcia R.C.,,Universidade Federal de Mato Grosso do Sul,Campo Grande,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,3,0,,,,,
2-s2.0-85050582330,10.1109/COBEP.2017.8257272,,,A three-port three-phase isolated DC-DC converter feasible to PV connection on a DC distribution system,cp,Conference Paper,De Oliveira R.N.M.,,,,,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,3,0,,,,,
2-s2.0-85050582180,10.1109/COBEP.2017.8257348,,,Performance comparison of IGBTS and SIC-MOSFET applied in photovoltaic inverters during reactive power injection,cp,Conference Paper,Paulo R.M.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,0,0,,,,,
2-s2.0-85050582086,10.1109/COBEP.2017.8257281,,,A five-level stacked neutral point clamped converter based on multi-state switching cell,cp,Conference Paper,Neto J.A.F.,,Universidade Federal do Pará,Belem,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,1,0,,,,,
2-s2.0-85050570844,10.1109/COBEP.2017.8257386,,,Selective compensation of harmonics applied in a multilevel single-phase UPQC system,cp,Conference Paper,Barriviera R.,,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",Curitiba,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,1,0,,,,,
2-s2.0-85050569485,10.1109/COBEP.2017.8257334,,,Impedance shaping of grid-connected three-phase PV systems,cp,Conference Paper,Silva J.P.O.,,Universidade Federal do Rio Grande do Norte,Natal,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,0,0,,,,,
2-s2.0-85050569446,10.1109/COBEP.2017.8257400,,,Induction motor parameter estimation from manufacturer data using genetic algorithms and heuristic relationships,cp,Conference Paper,Lima S.C.,,"Federal Institute of Education, Science and Technology of Santa Catarina",Florianopolis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,10,0,,,,,
2-s2.0-85050568929,10.1109/COBEP.2017.8257340,,,Hybrid DC and AC power distribution network as an alternative solution for isolated microgrids,cp,Conference Paper,Oliveira H.A.,,Universidade Federal do Maranhão,Sao Luis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,9,0,,,,,
2-s2.0-85050567552,10.1109/COBEP.2017.8257396,,,SIC power devices in power electronics: An overview,cp,Conference Paper,Alves L.F.S.,,Universidade Federal de Campina Grande,Campina Grande,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-8,,,60,0,,,,,
2-s2.0-85050566904,10.1109/COBEP.2017.8257321,,,Control strategy for a current-source boost-buck converter for PV systems,cp,Conference Paper,Spier D.W.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,5,0,,,,,
2-s2.0-85050565991,10.1109/COBEP.2017.8257243,,,Power voltage characteristics and global mppt algorithms for any severe partial shading condition,cp,Conference Paper,Furtado A.M.S.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,6,0,,,,,
