eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85059283103,10.1186/s13071-018-3246-1,,30594214,Long-term exposure of Aedes aegypti to Bacillus thuringiensis svar. Israelensis did not involve altered susceptibility to this microbial larvicide or to other control agents,ar,Article,Carvalho K.D.S.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2018-12-29,29 December 2018,Parasites and Vectors,,17500154721,17563305,Journal,11,1,673,,,,28,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85058916390,10.1186/s13071-018-3217-6,,30583731,Sex determination and Aedes population control,re,Review,De Araújo H.R.C.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2018-12-24,24 December 2018,Parasites and Vectors,,17500154721,17563305,Journal,11,,644,,,,10,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85058913855,10.1186/s13071-018-3222-9,,30583720,A perspective on the need and current status of efficient sex separation methods for mosquito genetic control,re,Review,Papathanos P.A.,,Hebrew University of Jerusalem,Jerusalem,Israel,,,,,2018-12-24,24 December 2018,Parasites and Vectors,,17500154721,17563305,Journal,11,,654,,,,45,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85058998138,,,,Unusual clinical manifestations of leishmania (L.) infantum chagasi in an HIV-coinfected patient and the relevance of ITS1-PCR-RFLP: A case report,ar,Article,Natalia souza de D.G.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2018-12-22,22 December 2018,Iranian Journal of Parasitology,17357020,17700156309,,Journal,13,4,,655-660,,,4,0,,,,,
2-s2.0-85059927486,10.3389/fimmu.2018.03019,,30619361,Identification of Piecemeal Degranulation and Vesicular Transport of MBP-1 in Liver-Infiltrating Mouse Eosinophils During Acute Experimental Schistosoma mansoni Infection,ar,Article,Dias F.F.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2018-12-20,20 December 2018,Frontiers in Immunology,,21100229161,16643224,Journal,9,,3019,,,,17,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85059156006,10.1186/s40409-018-0180-9,,,"Cytotoxic and pro-apoptotic action of MjTX-I, a phospholipase A2 isolated from Bothrops moojeni snake venom, towards leukemic cells",ar,Article,Benati R.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2018-12-20,20 December 2018,Journal of Venomous Animals and Toxins Including Tropical Diseases,16789180,4000152107,16789199,Journal,24,1,40,,,,23,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85038615516,10.1080/08927014.2017.1403591,,29258349,Genomic identification of microbial species adhering to maxillofacial prostheses and susceptibility to different hygiene protocols,ar,Article,Pinheiro J.B.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2018-12-20,20 December 2018,Biofouling,08927014,24622,10292454,Journal,34,1,,15-25,,,13,0,,,,,
2-s2.0-85059814857,10.1098/rspb.2018.1894,,30963903,Globally invasive genotypes of the amphibian chytrid outcompete an enzootic lineage in coinfections,ar,Article,Jenkinson T.S.,,"University of Michigan, Ann Arbor",Ann Arbor,United States,,,,,2018-12-19,19 December 2018,Proceedings of the Royal Society B Biological Sciences,09628452,130030,14712954,Journal,285,1893,20181894,,,,21,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85058900787,10.1186/s12866-018-1356-8,,30567551,Beneficial properties of lactic acid bacteria naturally present in dairy production 06 Biological Sciences 0605 Microbiology,ar,Article,Colombo M.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2018-12-19,19 December 2018,BMC Microbiology,,19633,14712180,Journal,18,1,219,,,,88,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85058884809,10.1186/s12936-018-2615-8,,30567541,"In vitro antiplasmodial activity, pharmacokinetic profiles and interference in isoprenoid pathway of 2-aniline-3-hydroxy-1.4-naphthoquinone derivatives",ar,Article,De Sena Pereira V.S.,,Universidade Federal do Rio Grande do Norte,Natal,Brazil,,,,,2018-12-19,19 December 2018,Malaria Journal,,22911,14752875,Journal,17,1,482,,,,6,0,,,,,
