3107,"Atomic and Molecular Physics, and Optics",PHYS
3106,Nuclear and High Energy Physics,PHYS
3105,Instrumentation,PHYS
3104,Condensed Matter Physics,PHYS
3103,Astronomy and Astrophysics,PHYS
3102,Acoustics and Ultrasonics,PHYS
1000,Multidisciplinary,MULT
3200,General Psychology,PSYC
3207,Social Psychology,PSYC
3206,Neuropsychology and Physiological Psychology,PSYC
3205,Experimental and Cognitive Psychology,PSYC
3204,Developmental and Educational Psychology,PSYC
3203,Clinical Psychology,PSYC
3202,Applied Psychology,PSYC
3201,Psychology (miscellaneous),PSYC
1110,Plant Science,AGRI
1107,Forestry,AGRI
1106,Food Science,AGRI
1105,"Ecology, Evolution, Behavior and Systematics",AGRI
1104,Aquatic Science,AGRI
1103,Animal Science and Zoology,AGRI
1102,Agronomy and Crop Science,AGRI
1101,Agricultural and Biological Sciences (miscellaneous),AGRI
1100,General Agricultural and Biological Sciences,AGRI
1109,Insect Science,AGRI
1108,Horticulture,AGRI
1111,Soil Science,AGRI
3310,Linguistics and Language,SOCI
3307,Human Factors and Ergonomics,SOCI
3306,Health (social science),SOCI
3305,"Geography, Planning and Development",SOCI
3304,Education,SOCI
3303,Development,SOCI
3302,Archeology,SOCI
3301,Social Sciences (miscellaneous),SOCI
3300,General Social Sciences,SOCI
3309,Library and Information Sciences,SOCI
3308,Law,SOCI
3321,Public Administration,SOCI
3320,Political Science and International Relations,SOCI
3318,Gender Studies,SOCI
3317,Demography,SOCI
3316,Cultural Studies,SOCI
3315,Communication,SOCI
3314,Anthropology,SOCI
3313,Transportation,SOCI
3312,Sociology and Political Science,SOCI
3311,Safety Research,SOCI
3319,Life-span and Life-course Studies,SOCI
3322,Urban Studies,SOCI
1213,Visual Arts and Performing Arts,ARTS
1212,Religious Studies,ARTS
1211,Philosophy,ARTS
1210,Music,ARTS
1206,Conservation,ARTS
1205,Classics,ARTS
1204,Archeology (arts and humanities),ARTS
1203,Language and Linguistics,ARTS
1202,History,ARTS
1201,Arts and Humanities (miscellaneous),ARTS
1200,General Arts and Humanities,ARTS
1209,Museology,ARTS
1208,Literature and Literary Theory,ARTS
1207,History and Philosophy of Science,ARTS
3404,Small Animals,VETE
3403,Food Animals,VETE
3402,Equine,VETE
3401,Veterinary (miscellaneous),VETE
3400,General Veterinary,VETE
1305,Biotechnology,BIOC
1304,Biophysics,BIOC
1303,Biochemistry,BIOC
1302,Aging,BIOC
1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",BIOC
1300,"General Biochemistry, Genetics and Molecular Biology",BIOC
1309,Developmental Biology,BIOC
1308,Clinical Biochemistry,BIOC
1307,Cell Biology,BIOC
1306,Cancer Research,BIOC
1315,Structural Biology,BIOC
1314,Physiology,BIOC
1313,Molecular Medicine,BIOC
1312,Molecular Biology,BIOC
1311,Genetics,BIOC
1310,Endocrinology,BIOC
3505,Orthodontics,DENT
3504,Oral Surgery,DENT
3503,Dental Hygiene,DENT
3502,Dental Assisting,DENT
3501,Dentistry (miscellaneous),DENT
3500,General Dentistry,DENT
3506,Periodontics,DENT
1404,Management Information Systems,BUSI
1403,Business and International Management,BUSI
1402,Accounting,BUSI
1401,"Business, Management and Accounting (miscellaneous)",BUSI
1400,"General Business, Management and Accounting",BUSI
1409,"Tourism, Leisure and Hospitality Management",BUSI
1408,Strategy and Management,BUSI
1407,Organizational Behavior and Human Resource Management,BUSI
1406,Marketing,BUSI
1405,Management of Technology and Innovation,BUSI
1410,Industrial Relations,BUSI
3604,Emergency Medical Services,HEAL
3603,Complementary and Manual Therapy,HEAL
3602,Chiropractics,HEAL
3601,Health Professions (miscellaneous),HEAL
3600,General Health Professions,HEAL
3609,Occupational Therapy,HEAL
3608,Medical Terminology,HEAL
3607,Medical Laboratory Technology,HEAL
3606,Medical Assisting and Transcription,HEAL
3605,Health Information Management,HEAL
3615,Respiratory Care,HEAL
3614,Radiological and Ultrasound Technology,HEAL
3613,Podiatry,HEAL
3612,"Physical Therapy, Sports Therapy and Rehabilitation",HEAL
3611,Pharmacy,HEAL
3610,Optometry,HEAL
3616,Speech and Hearing,HEAL
1503,Catalysis,CHEM
1502,Bioengineering,CHEM
1501,Chemical Engineering (miscellaneous),CHEM
1500,General Chemical Engineering,CHEM
1508,Process Chemistry and Technology,CHEM
1507,Fluid Flow and Transfer Processes,CHEM
1506,Filtration and Separation,CHEM
1505,Colloid and Surface Chemistry,CHEM
1504,Chemical Health and Safety,CHEM
1602,Analytical Chemistry,CHEM
1601,Chemistry (miscellaneous),CHEM
1600,General Chemistry,CHEM
1607,Spectroscopy,CHEM
1606,Physical and Theoretical Chemistry,CHEM
1605,Organic Chemistry,CHEM
1604,Inorganic Chemistry,CHEM
1603,Electrochemistry,CHEM
1701,Computer Science (miscellaneous),COMP
1700,General Computer Science,COMP
1709,Human-Computer Interaction,COMP
1708,Hardware and Architecture,COMP
1707,Computer Vision and Pattern Recognition,COMP
1706,Computer Science Applications,COMP
1705,Computer Networks and Communications,COMP
1704,Computer Graphics and Computer-Aided Design,COMP
1703,Computational Theory and Mathematics,COMP
1702,Artificial Intelligence,COMP
1712,Software,COMP
1711,Signal Processing,COMP
1710,Information Systems,COMP
1800,General Decision Sciences,DECI
1804,"Statistics, Probability and Uncertainty",DECI
1803,Management Science and Operations Research,DECI
1802,Information Systems and Management,DECI
