eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85122817225,10.1017/S0022149X21000729,,34964710,Checklist of nematodes parasitizing fish in the Brazilian Amazon,re,Review,Santos Reis M.H.,,Universidade Federal do Maranhão,Sao Luis,Brazil,,,,,2021-12-29,29 December 2021,Journal of Helminthology,0022149X,22423,14752697,Journal,95,,e75,,,,5,0,,,,,
2-s2.0-85122580029,10.2478/helm-2021-0045,,,"Plesiochorus cymbiformis (Rudolphi, 1819) Looss, 1901 (Digenea: Gorgoderidae) in Olive Ridley Sea turtles Lepidochelys olivacea (Eschscholtz, 1829) (Testudines: Chelonidae) from the Brazilian coast: New geographic occurrence and associated injuries",ar,Article,Jerdy H.,,Universidade Estadual do Norte Fluminense,Campos dos Goitacazes,Brazil,,,,,2021-12-25,25 December 2021,Helminthologia Poland,04406605,21981,13369083,Journal,58,4,,408-414,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122576515,10.2478/helm-2021-0042,,,"Parasitic infection patterns in Coleodactylus meridionalis (Squamata: Sphaerodactylidae) from Atlantic Forest fragments, northeast of the Neotropical Region",ar,Article,Teixeira A.A.M.,,Universidade Federal do Maranhão,Sao Luis,Brazil,,,,,2021-12-25,25 December 2021,Helminthologia Poland,04406605,21981,13369083,Journal,58,4,,356-363,,,3,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122566095,10.2478/helm-2021-0037,,,Ultrastructural aspects of the intestinal cells surface of Angiostrongylus cantonensis by using of transmission electron microscopy,ar,Article,Guerra H.M.M.S.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2021-12-25,25 December 2021,Helminthologia Poland,04406605,21981,13369083,Journal,58,4,,400-402,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122439834,10.3389/fcimb.2021.790761,,35004356,Editorial: Host-Pathogen Interaction in the Central Nervous System,ed,Editorial,Barichello T.,,McGovern Medical School;Universidade do Sul de Santa Catarina,Houston;Tubarao,United States;Brazil,,,,,2021-12-24,24 December 2021,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,11,,790761,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122478108,10.3389/fimmu.2021.808064,,35003137,Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,re,Review,Abu-Raya B.,,The University of British Columbia,Vancouver,Canada,,,,,2021-12-23,23 December 2021,Frontiers in Immunology,,21100229161,16643224,Journal,12,,808064,,,,17,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85118989841,10.1182/blood.2021011525,S0006497121014749,34407544,Gasdermin D inhibition prevents multiple organ dysfunction during sepsis by blocking NET formation,ar,Article,Silva C.M.S.,,Center for Research in Inflammatory Diseases,,,,,,,2021-12-23,23 December 2021,Blood,00064971,25454,15280020,Journal,138,25,,2702-2713,,,177,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85122285977,10.3389/fcimb.2021.801122,,35004359,Editorial: Applications of Next Generation Sequencing (NGS) Technologies to Decipher the Oral Microbiome in Systemic Health and Disease,ed,Editorial,Do T.,,Faculty of Medicine and Health,Leeds,United Kingdom,,,,,2021-12-22,22 December 2021,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,11,,801122,,,,5,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122269006,10.3389/fimmu.2021.778475,,34992597,Epitope-Based Vaccine of a Brucella abortus Putative Small RNA Target Induces Protection and Less Tissue Damage in Mice,ar,Article,Oliveira K.C.,,Universidade Federal de Alfenas,Alfenas,Brazil,,,,,2021-12-21,21 December 2021,Frontiers in Immunology,,21100229161,16643224,Journal,12,,778475,,,,6,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122261199,10.3389/fimmu.2021.788185,,34992603,"ASCVac-1, a Multi-Peptide Chimeric Vaccine, Protects Mice Against Ascaris suum Infection",ar,Article,Gazzinelli-Guimarães A.C.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2021-12-21,21 December 2021,Frontiers in Immunology,,21100229161,16643224,Journal,12,,788185,,,,11,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
