eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85091348185,10.5209/REVE.69171,,,The latin American and European perspectives of solidarity economy,ar,Article,Telles L.B.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2020-06-23,23 June 2020,Revesco Revista De Estudios Cooperativos,11356618,21100199128,18858031,Journal,134,,,,,,8,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85083808850,10.1108/INTR-12-2018-0529,,,“No piracy talk”: how online brand communities work to denormalize controversial gaming practices,ar,Article,Scaraboto D.,,University of Melbourne,Melbourne,Australia,,,,,2020-06-22,22 Jun 2020,Internet Research,10662243,17493,,Journal,30,4,,1103-1122,,,8,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85137312444,10.4018/978-1-7998-4882-0.ch010,,,Information literacy and the circular economy in industry 4.0,ch,Book Chapter,Ottonicar S.L.C.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2020-06-19,19 June 2020,Promoting Inclusive Growth in the Fourth Industrial Revolution,,21101105267,,Book,,,,245-269,,,3,0,,,,,
2-s2.0-85137311753,10.4018/978-1-7998-4543-0.ch001,,,Changes in regulatory laws over the sharing economy business on the example of Brazil: A crucial point for its feasibility,ch,Book Chapter,Guedes da Luz Neto L.,,Universidade Federal da Paraíba,Joao Pessoa,Brazil,,,,,2020-06-19,19 June 2020,Strategies for Business Sustainability in A Collaborative Economy,,21101105247,,Book,,,,1-16,,,0,0,,,,,
2-s2.0-85075885289,10.1016/j.ijbiomac.2019.10.229,S0141813019353942,31751721,Nanostructured conjugates from tara gum and α-lactalbumin. Part 1. Structural characterization,ar,Article,Hernández H.L.H.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2020-06-15,15 June 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,153,,,995-1004,,,10,0,,,,,
2-s2.0-85076407061,10.1080/00036846.2019.1697797,,,"Effects of retirement on the health of elderly people in São Paulo, Brazil",ar,Article,Mountian A.G.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2020-06-14,14 June 2020,Applied Economics,00036846,18768,14664283,Journal,52,28,,2991-3003,,,3,0,,,,,
2-s2.0-85111883159,,,,Exploring and exploiting Antarctica: The early human interactions,ch,Book Chapter,Pearson M.,,,,,,,,,2020-06-04,4 June 2020,Past Antarctica Paleoclimatology and Climate Change,,21101054754,,Book,,,,259-278,,,5,0,,,,,
2-s2.0-85090792158,10.3917/eh.099.0021,,,"The market of LPG (liquefied petroleum gas) in Brazil: A brief structural, institutional-historical perspective",re,Review,Colomer M.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2020-06-01,June 2020,Entreprises Et Histoire,11612770,17900156716,,Journal,99,2,,21-34,,,2,0,,,,,
2-s2.0-85090788373,10.3917/eh.099.0005,,,Régulation et développement sectoriel en perspective historique: Le cas du brésil,re,Review,Delorme Prado L.C.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2020-06-01,June 2020,Entreprises Et Histoire,11612770,17900156716,,Journal,99,2,,5-20,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85090784895,10.3917/eh.099.0107,,,Streaming video on demand platforms and competition policy: The Brazilian case,ar,Article,Delorme Prado L.C.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2020-06-01,June 2020,Entreprises Et Histoire,11612770,17900156716,,Journal,99,2,,107-125,,,0,0,,,,,
