eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85077493986,10.3390/v12010048,,31906098,Novel viruses found in antricola ticks collected in bat caves in the western Amazonia of Brazil,ar,Article,Blomström A.L.,,Sveriges lantbruksuniversitet,Uppsala,Sweden,,,,,2019-12-31,31 December 2019,Viruses,,19700188364,19994915,Journal,12,1,48,,,,11,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077303813,10.1186/s12936-019-3069-3,,31888654,"Antiplasmodial profile of selected compounds from Malaria Box: In vitro evaluation, speed of action and drug combination studies",ar,Article,De Souza G.E.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2019-12-30,30 December 2019,Malaria Journal,,22911,14752875,Journal,18,1,447,,,,21,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077249350,10.1186/s13071-019-3849-1,,31878960,"Wide distribution of Trypanosoma cruzi-infected triatomines in the State of Bahia, Brazil",ar,Article,Ribeiro G.,,Fundacao Oswaldo Cruz;Faculdade Ruy Barbosa,Rio de Janeiro;Salvador,Brazil;Brazil,,,,,2019-12-26,26 December 2019,Parasites and Vectors,,17500154721,17563305,Journal,12,1,604,,,,32,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077021507,10.1186/s12866-019-1648-7,,31870299,"Commensal microbiota modulates larval foraging behaviour, development rate and pupal production in Bactrocera tryoni",ar,Article,Morimoto J.,,Macquarie University;Universidade Federal do Parana,Sydney;Curitiba,Australia;Brazil,,,,,2019-12-24,24 December 2019,BMC Microbiology,,19633,14712180,Journal,19,,286,,,,20,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077261031,10.3390/v12010019,,31877989,Loop-mediated isothermal amplification (LAMP) for the diagnosis of Zika virus: A review,re,Review,Da Silva S.J.R.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2019-12-23,23 December 2019,Viruses,,19700188364,19994915,Journal,12,1,19,,,,94,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077129683,10.1186/s13071-019-3856-2,,31870457,Does antennal sensilla pattern of different populations of Triatoma maculata (Hemiptera: Reduviidae) reveal phenotypic variability?,ar,Article,Müller J.N.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2019-12-23,23 December 2019,Parasites and Vectors,,17500154721,17563305,Journal,12,1,602,,,,3,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85066160296,10.3390/v11010007,,30583530,A Cryptic Non-Inducible Prophage Confers Phage-Immunity on the Streptococcus thermophilus M17PTZA496,ar,Article,da Silva Duarte V.,,Università degli Studi di Padova;Universidade Federal de Vicosa,Padua;Vicosa,Italy;Brazil,,,,,2019-12-22,22 December 2019,Viruses,,19700188364,19994915,Journal,11,1,,,,,23,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85077159199,10.1186/s13071-019-3853-5,,31864389,"Parasitological, serological and molecular survey of camel trypanosomiasis in Somalia",ar,Article,Hassan-Kadle A.A.,,Universidade Federal do Parana;Abrar University,Curitiba;Mogadishu,Brazil;Somalia,,,,,2019-12-21,21 December 2019,Parasites and Vectors,,17500154721,17563305,Journal,12,1,598,,,,27,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077145805,10.1186/s12936-019-3072-8,,31864358,Doses of chloroquine in the treatment of malaria by Plasmodium vivax in patients between 2 and 14 years of age from the Brazilian Amazon basin,ar,Article,De Sena L.W.P.,,Para Federal University,Belem,Brazil,,,,,2019-12-21,21 December 2019,Malaria Journal,,22911,14752875,Journal,18,1,439,,,,16,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85072740837,10.1016/j.jbiotec.2019.09.012,S0168165619308600,31545973,On the expression of recombinant Cas9 protein in E. coli BL21(DE3) and BL21(DE3) Rosetta strains,ar,Article,Carmignotto G.P.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2019-12-20,20 December 2019,Journal of Biotechnology,01681656,16078,18734863,Journal,306,,,62-70,,,29,0,,,,,
