eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85176909462,10.1016/j.neuroscience.2023.10.016,S0306452223004724,37925051,The Post-conditioning Acute Strength Exercise Facilitates Contextual Fear Memory Consolidation Via Hippocampal N-methyl-D-aspartate-receptors,ar,Article,Leite A.K.O.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2023-12-15,15 December 2023,Neuroscience,03064522,18042,18737544,Journal,535,,,88-98,,,1,0,,,,,
2-s2.0-85176756532,10.1016/j.neuroscience.2023.11.005,S030645222300492X,37944583,Emotional Value of Fear Memory and the Role of the Ventral Hippocampus in Systems Consolidation,ar,Article,Casagrande M.A.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2023-12-15,15 December 2023,Neuroscience,03064522,18042,18737544,Journal,535,,,184-193,,,2,0,,,,,
2-s2.0-85176137009,10.1016/j.jneuroim.2023.578242,S016557282300228X,37951202,Weight-drop model as a valuable tool to study potential neurobiological processes underlying behavioral and cognitive changes secondary to mild traumatic brain injury,ar,Article,Machado C.A.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-12-15,15 December 2023,Journal of Neuroimmunology,01655728,16749,18728421,Journal,385,,578242,,,,8,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85175553833,10.1016/j.jneuroim.2023.578237,S0165572823002230,37931532,Supplementation with Jatobá-do-cerrado flour (Hymenaea stigonocarpa Mart.) decreases hypothalamic inflammation and improves obesity parameters in rats on a high-fat diet,ar,Article,da Silva A.A.,,Universidade Federal dos Vales do Jequitinhonha e Mucuri,Diamantina,Brazil,,,,,2023-12-15,15 December 2023,Journal of Neuroimmunology,01655728,16749,18728421,Journal,385,,578237,,,,2,0,,,,,
2-s2.0-85174667470,10.1016/j.addicn.2023.100130,S2772392523000731,,Spermidine prevents the reinstatement of alcohol conditioned place preference,ar,Article,Silva A.A.,,Universidade Estadual de Santa Cruz,Ilheus,Brazil,,,,,2023-12-15,15 December 2023,Addiction Neuroscience,,21101183614,27723925,Journal,9,,100130,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85173169001,10.1016/j.brainres.2023.148611,S0006899323003827,37793604,From diabetic hyperglycemia to cerebrovascular Damage: A narrative review,ar,Article,Simon Machado R.,,Universidade do Sul de Santa Catarina,Tubarao,Brazil,,,,,2023-12-15,15 December 2023,Brain Research,00068993,14346,18726240,Journal,1821,,148611,,,,12,0,,,,,
2-s2.0-85179801713,10.3233/JAD-230843,,37980673,CGAs-Rich Conilon Coffee Consumption Improves Cognition and Reduces Oxidative Stress in Elderly with Alzheimer's Disease: A Pilot Study,ar,Article,Lopes Boschetti J.C.,,Universidade Vila Velha,Vila Velha,Brazil,,,,,2023-12-06,6 December 2023,Journal of Alzheimer S Disease,13872877,16246,18758908,Journal,96,4,,1547-1554,,,1,0,,,,,
2-s2.0-85203797582,10.1002/nep3.23,,,Preserving cognitive function in patients with Alzheimer's disease: The Alzheimer's disease neuroprotection research initiative (ADNRI),ar,Article,Liu J.,,"Daping Hospital, the Third Military Medical University;Chongqing Key Laboratory of Ageing and Brain Diseases",Chongqing;Chongqing,China;China,,,,,2023-12-01,December 2023,Neuroprotection,27707296,21101256264,2770730X,Journal,1,2,,84-98,,,14,1,all publisherhybridgold repository repositoryvor,All Open Access Hybrid Gold Green,,,
2-s2.0-85193282556,10.1016/j.neuri.2023.100147,S2772528623000328,,Integration of eye-tracking systems with sport concussion assessment tool 5th edition for mild TBI and concussion diagnostics in neurotrauma: Building a framework for the artificial intelligence era,ar,Article,Müller Fiedler A.,,University of Miami Leonard M. Miller School of Medicine,Miami,United States,,,,,2023-12-01,December 2023,Neuroscience Informatics,,21101257876,27725286,Journal,3,4,100147,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85190693228,10.1016/j.sleepe.2023.100063,S2667343623000082,,The relation of insomnia and obstructive sleep apnea on sexual function and climacteric symptoms in postmenopausal women,ar,Article,Ishikura I.A.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2023-12-01,December 2023,Sleep Epidemiology,,21101140115,26673436,Journal,3,,100063,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85190669646,10.1016/j.sleepe.2023.100056,S266734362300001X,,Factors associated with changes in sleep quality and use of sleep medications in beneficiaries of health plans,ar,Article,Delpino F.M.,,Instituto de Estudos de Saúde Suplementar (IESS),Sao Paulo,Brazil,,,,,2023-12-01,December 2023,Sleep Epidemiology,,21101140115,26673436,Journal,3,,100056,,,,0,1,all publisherfullgold,All Open Access Gold,,,
