eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85188126448,10.22370/rbmo.2023.58.1.4177,,,"Culturable bacteria associated with the mucus of the zoanthid Palythoa caribaeorum (Cnidaria, Anthozoa) from Northeast of Brazil",ar,Article,Campos F.F.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2023-12-31,31 December 2023,Revista De Biologia Marina Y Oceanografia,07173326,13565,07181957,Journal,58,1,,61-66,,,1,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85181730639,10.2110/jsr.2022.063,,,"SUPERCRITICAL FLUVIAL STYLES AND THE SHIFTING ARIDITY IN THE EARLY TRIASSIC: THE EXAMPLE OF THE SANGA DO CABRAL FORMATION, PARANÁ BASIN, BRAZIL",ar,Article,Xavier P.L.A.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2023-12-31,December 2023,Journal of Sedimentary Research,15271404,23225,,Journal,93,12,,972-1006,,,4,0,,,,,
2-s2.0-85176257806,10.1002/joc.8288,,,"Effects of extreme phases of El Niño–Southern Oscillation on rainfall extremes in Alagoas, Brazil",ar,Article,de Sousa Santos J.,,Universidade Federal de Alagoas,Maceio,Brazil,,,,,2023-12-30,30 December 2023,International Journal of Climatology,08998418,13507,10970088,Journal,43,16,,7700-7721,,,4,0,,,,,
2-s2.0-85175084941,10.1002/joc.8280,,,Storm tracks and cyclogenesis over the Southern Ocean: An overview with the HadGEM3-GC3.1 model,ar,Article,de Souza M.R.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2023-12-30,30 December 2023,International Journal of Climatology,08998418,13507,10970088,Journal,43,16,,7565-7587,,,0,0,,,,,
2-s2.0-85174286927,10.1002/joc.8274,,,"Long-term trend analysis in annual, seasonal and monthly rainfall in East Northeast of Brazil and the influence of modes of climate variability",ar,Article,Abreu M.C.,,Universidade Federal Rural do Rio de Janeiro,Seropedica,Brazil,,,,,2023-12-30,30 December 2023,International Journal of Climatology,08998418,13507,10970088,Journal,43,16,,7463-7480,,,2,0,,,,,
2-s2.0-85183810534,10.4018/9798369318508,,,Novel AI applications for advancing earth sciences,bk,Book,Yadav S.,,"Government College, Tonk",Tonk,India,,,,,2023-12-29,29 December 2023,Novel AI Applications for Advancing Earth Sciences,,21101199285,,Book,,,,1-205,,,0,0,,,,,
2-s2.0-85183441907,10.26848/rbgf.v16.6.p3189-3203,,,The association of mulch cover and organic fertilization improves the agronomic performance of millet under rainfed cultivation in a semi-arid environment,ar,Article,Izidro J.L.P.S.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3189-3203,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182500187,10.26848/rbgf.v16.6.p3494-3509,,,Mapping of the Environmental Fragility of the Watershed of the Bandeirinha Stream in Formosa-GO – Brazil,ar,Article,de Oliveira O.A.,,Universidade de Brasília,Brasília,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3494-3509,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182484343,10.26848/rbgf.v16.6.p3445-3453,,,Biochar from different waste sources as alternative substrates for lettuce and tomato seedling production,ar,Article,da Mota S.E.O.,,Universidade Federal do Agreste de Pernambuco,Garanhuns,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3445-3453,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182481889,10.26848/rbgf.v16.6.p2994-3005,,,Leaf alterations in Piper gaudichaudianum (Piperaceae) due to the accumulation of atmospheric particulates in a mining area in southern Brazil,ar,Article,Costa V.F.,,Universidade da Regiao de Joinville,Joinville,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,2994-3005,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182480711,10.26848/rbgf.v16.6.p3204-3224,,,Polar climate change: a multidisciplinary assessment,ar,Article,Casagrande F.,,Instituto Nacional de Pesquisas Espaciais,Sao Jose dos Campos,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3204-3224,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182470782,10.26848/rbgf.v16.6.p2978-2993,,,Physical fractionation of carbon and its interactions with soil attributes in cultivated pastures in Western Amazonia,ar,Article,Pinheiro E.N.,,Universidade Federal do Amazonas,Manaus,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,2978-2993,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182467022,10.26848/rbgf.v16.6.p3364-3379,,,Hazard in the Territory of Araripe UNESCO Global Geopark (EC): Monitoring of Fire Spots between the years 2011 and 2022,ar,Article,de Souza A.R.S.,,Universidade Regional do Cariri,Crato,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3364-3379,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182463033,10.26848/rbgf.v16.6.p3424-3444,,,Assessment of desertification in the Brazilian semiarid region using time series of climatic and biophysical variables,ar,Article,da Costa J.G.J.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3424-3444,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182251974,10.26848/rbgf.v16.6.p3204-3217,,,"Morphometric characterization of the water basin of the core Tre Folhas, Entre Folhas-MG",ar,Article,da Silva J.G.,,Universidade Federal de Itajubá,Itajuba,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3204-3217,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182246547,10.26848/rbgf.v16.6.p3454-3468,,,Woody Biomass Stock in the Araripe Plaster Pole,ar,Article,Machado R.B.,,Universidade de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3454-3468,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182244214,10.26848/rbgf.v16.6.p3149-3167,,,"Morphometric characterization of the watershed of the river Duas Unas, in Pernambuco",ar,Article,Pessoa Neto A.G.,,Universidade de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3149-3167,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182240763,10.26848/rbgf.v16.6.p3103-3124,,,"Susceptibility to erosion, soil loss, and environmental vulnerability of the Middle Araguaia River Basin-Brazil",ar,Article,de Melo A.C.A.,,Universidade de Brasília,Brasília,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3103-3124,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182239844,10.26848/rbgf.v16.6.p3263-3282,,,"An Introduction to the analysis of air masses, fronts, and extratropical cyclones in South America",ar,Article,Reboita M.S.,,Universidade Federal de Itajubá,Itajuba,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3263-3282,,,2,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182238878,10.26848/rbgf.v16.6.p3404-3423,,,"Mapping of Environmental Fragility in Agricultural Expansion Areas in Matopiba, Piauí, Brazil",ar,Article,Fernandes G.S.T.,,Doutorando em Agronomia,,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3404-3423,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182237982,10.26848/rbgf.v16.6.p3312-3333,,,"Geoenvironmental analysis of the Timbó Watershed – PE: geomorphology, hydrology and land use and occupation",ar,Article,Silva E.J.,,Universidade Federal de Campina Grande,Campina Grande,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3312-3333,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182232983,10.26848/rbgf.v16.6.p3020-3041,,,Getting to know the cacti of Northeast Brazil: a systematic review,ar,Article,Pessoa V.G.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3020-3041,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182224490,10.26848/rbgf.v16.6.p2958-2977,,,Application of the Innovative Trend Analysis (ITA) Method for detecting trends in annual and seasonal rainfall in the Metropolitan Region of Recife,ar,Article,Pessoa J.O.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,2958-2977,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182219685,10.26848/rbgf.v16.6.p3537-3547,,,Expansion of the geographic distribution and conservation status of Ruellia asperula (Mart. ex Ness) Lindau (Acanthaceae) for the North region of Brazil,ar,Article,Silva A.O.,,Universidade Federal do Maranhão,Sao Luis,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3537-3547,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182216630,10.26848/rbgf.v16.6.p3168-3188,,,"Analysis of Air Quality in the Metropolitan Region of Recife, Pernambuco",ar,Article,Lima R.C.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3168-3188,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182210865,10.26848/rbgf.v16.6.p3548-3559,,,Incidence and rainfall patterns in south of Brazilian northeastern,ar,Article,de Oliveira A.G.,,Universidade Federal do Sul da Bahia,Itabuna,Brazil,,,,,2023-12-29,29 December 2023,Revista Brasileira De Geografia Fisica,,21101034113,19842295,Journal,16,6,,3548-3559,,,0,1,all publisherfullgold,All Open Access Gold,,,
